11:32:46.885 [Thread-11] INFO  o.s.s.c.ThreadPoolTaskExecutor.shutdown(208) - Shutting down ExecutorService 'applicationTaskExecutor' 
11:34:28.668 [main] INFO  o.s.core.KotlinDetector.<clinit>(57) - Kotlin reflection implementation not found at runtime, related features won't be available. 
11:34:29.561 [main] INFO  com.example.vote.VoteApplication.logStarting(50) - Starting VoteApplication on longtao.local with PID 5101 (/Users/yuxun/Desktop/project/java/VoteSystem/target/classes started by yuxun in /Users/yuxun/Desktop/project/java/VoteSystem) 
11:34:29.562 [main] INFO  com.example.vote.VoteApplication.logStartupProfileInfo(650) - The following profiles are active: dev 
11:34:30.210 [background-preinit] WARN  o.s.h.c.j.Jackson2ObjectMapperBuilder.warn(127) - For Jackson Kotlin classes support please add "com.fasterxml.jackson.module:jackson-module-kotlin" to the classpath 
11:34:32.133 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer.initialize(90) - Tomcat initialized with port(s): 8081 (http) 
11:34:32.177 [main] INFO  o.a.catalina.core.StandardService.log(173) - Starting service [Tomcat] 
11:34:32.178 [main] INFO  o.a.catalina.core.StandardEngine.log(173) - Starting Servlet engine: [Apache Tomcat/9.0.21] 
11:34:32.344 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/].log(173) - Initializing Spring embedded WebApplicationContext 
11:34:32.345 [main] INFO  o.s.web.context.ContextLoader.prepareWebApplicationContext(283) - Root WebApplicationContext: initialization completed in 2614 ms 
11:34:33.500 [main] INFO  o.s.s.c.ThreadPoolTaskExecutor.initialize(171) - Initializing ExecutorService 'applicationTaskExecutor' 
11:34:34.599 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer.start(202) - Tomcat started on port(s): 8081 (http) with context path '' 
11:34:34.617 [main] INFO  com.example.vote.VoteApplication.logStarted(59) - Started VoteApplication in 5.805 seconds (JVM running for 7.271) 
11:34:49.198 [http-nio-8081-exec-2] INFO  o.a.c.c.C.[Tomcat].[localhost].[/].log(173) - Initializing Spring DispatcherServlet 'dispatcherServlet' 
11:34:49.199 [http-nio-8081-exec-2] INFO  o.s.web.servlet.DispatcherServlet.initServletBean(524) - Initializing Servlet 'dispatcherServlet' 
11:34:49.215 [http-nio-8081-exec-2] INFO  o.s.web.servlet.DispatcherServlet.initServletBean(546) - Completed initialization in 16 ms 
11:45:04.871 [Thread-15] INFO  o.s.s.c.ThreadPoolTaskExecutor.shutdown(208) - Shutting down ExecutorService 'applicationTaskExecutor' 
11:45:11.815 [main] INFO  o.s.core.KotlinDetector.<clinit>(57) - Kotlin reflection implementation not found at runtime, related features won't be available. 
11:45:12.262 [main] INFO  com.example.vote.VoteApplication.logStarting(50) - Starting VoteApplication on longtao.local with PID 5139 (/Users/yuxun/Desktop/project/java/VoteSystem/target/classes started by yuxun in /Users/yuxun/Desktop/project/java/VoteSystem) 
11:45:12.263 [main] INFO  com.example.vote.VoteApplication.logStartupProfileInfo(650) - The following profiles are active: dev 
11:45:12.435 [background-preinit] WARN  o.s.h.c.j.Jackson2ObjectMapperBuilder.warn(127) - For Jackson Kotlin classes support please add "com.fasterxml.jackson.module:jackson-module-kotlin" to the classpath 
11:45:14.378 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer.initialize(90) - Tomcat initialized with port(s): 8081 (http) 
11:45:14.412 [main] INFO  o.a.catalina.core.StandardService.log(173) - Starting service [Tomcat] 
11:45:14.412 [main] INFO  o.a.catalina.core.StandardEngine.log(173) - Starting Servlet engine: [Apache Tomcat/9.0.21] 
11:45:14.580 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/].log(173) - Initializing Spring embedded WebApplicationContext 
11:45:14.580 [main] INFO  o.s.web.context.ContextLoader.prepareWebApplicationContext(283) - Root WebApplicationContext: initialization completed in 2247 ms 
11:45:15.153 [main] INFO  o.s.s.c.ThreadPoolTaskExecutor.initialize(171) - Initializing ExecutorService 'applicationTaskExecutor' 
11:45:15.543 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer.start(202) - Tomcat started on port(s): 8081 (http) with context path '' 
11:45:15.547 [main] INFO  com.example.vote.VoteApplication.logStarted(59) - Started VoteApplication in 3.687 seconds (JVM running for 4.54) 
11:45:30.295 [http-nio-8081-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/].log(173) - Initializing Spring DispatcherServlet 'dispatcherServlet' 
11:45:30.296 [http-nio-8081-exec-1] INFO  o.s.web.servlet.DispatcherServlet.initServletBean(524) - Initializing Servlet 'dispatcherServlet' 
11:45:30.303 [http-nio-8081-exec-1] INFO  o.s.web.servlet.DispatcherServlet.initServletBean(546) - Completed initialization in 7 ms 
11:45:52.202 [Thread-11] INFO  o.s.s.c.ThreadPoolTaskExecutor.shutdown(208) - Shutting down ExecutorService 'applicationTaskExecutor' 
11:45:55.777 [main] INFO  o.s.core.KotlinDetector.<clinit>(57) - Kotlin reflection implementation not found at runtime, related features won't be available. 
11:45:56.231 [main] INFO  com.example.vote.VoteApplication.logStarting(50) - Starting VoteApplication on longtao.local with PID 5142 (/Users/yuxun/Desktop/project/java/VoteSystem/target/classes started by yuxun in /Users/yuxun/Desktop/project/java/VoteSystem) 
11:45:56.232 [main] INFO  com.example.vote.VoteApplication.logStartupProfileInfo(650) - The following profiles are active: dev 
11:45:56.393 [background-preinit] WARN  o.s.h.c.j.Jackson2ObjectMapperBuilder.warn(127) - For Jackson Kotlin classes support please add "com.fasterxml.jackson.module:jackson-module-kotlin" to the classpath 
11:45:58.192 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer.initialize(90) - Tomcat initialized with port(s): 8081 (http) 
11:45:58.238 [main] INFO  o.a.catalina.core.StandardService.log(173) - Starting service [Tomcat] 
11:45:58.239 [main] INFO  o.a.catalina.core.StandardEngine.log(173) - Starting Servlet engine: [Apache Tomcat/9.0.21] 
11:45:58.362 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/].log(173) - Initializing Spring embedded WebApplicationContext 
11:45:58.363 [main] INFO  o.s.web.context.ContextLoader.prepareWebApplicationContext(283) - Root WebApplicationContext: initialization completed in 2029 ms 
11:45:58.811 [main] INFO  o.s.s.c.ThreadPoolTaskExecutor.initialize(171) - Initializing ExecutorService 'applicationTaskExecutor' 
11:45:59.126 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer.start(202) - Tomcat started on port(s): 8081 (http) with context path '' 
11:45:59.129 [main] INFO  com.example.vote.VoteApplication.logStarted(59) - Started VoteApplication in 3.32 seconds (JVM running for 4.156) 
15:02:02.269 [Thread-10] INFO  o.s.s.c.ThreadPoolTaskExecutor.shutdown(208) - Shutting down ExecutorService 'applicationTaskExecutor' 
15:02:07.838 [main] INFO  o.s.core.KotlinDetector.<clinit>(57) - Kotlin reflection implementation not found at runtime, related features won't be available. 
15:02:08.476 [main] INFO  com.example.vote.VoteApplication.logStarting(50) - Starting VoteApplication on longtao.local with PID 5941 (/Users/yuxun/Desktop/project/java/VoteSystem/target/classes started by yuxun in /Users/yuxun/Desktop/project/java/VoteSystem) 
15:02:08.477 [main] INFO  com.example.vote.VoteApplication.logStartupProfileInfo(650) - The following profiles are active: dev 
15:02:08.918 [background-preinit] WARN  o.s.h.c.j.Jackson2ObjectMapperBuilder.warn(127) - For Jackson Kotlin classes support please add "com.fasterxml.jackson.module:jackson-module-kotlin" to the classpath 
15:02:11.563 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer.initialize(90) - Tomcat initialized with port(s): 8081 (http) 
15:02:11.610 [main] INFO  o.a.catalina.core.StandardService.log(173) - Starting service [Tomcat] 
15:02:11.611 [main] INFO  o.a.catalina.core.StandardEngine.log(173) - Starting Servlet engine: [Apache Tomcat/9.0.21] 
15:02:11.900 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/].log(173) - Initializing Spring embedded WebApplicationContext 
15:02:11.900 [main] INFO  o.s.web.context.ContextLoader.prepareWebApplicationContext(283) - Root WebApplicationContext: initialization completed in 3301 ms 
15:02:12.878 [main] INFO  o.s.s.c.ThreadPoolTaskExecutor.initialize(171) - Initializing ExecutorService 'applicationTaskExecutor' 
15:02:13.447 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer.start(202) - Tomcat started on port(s): 8081 (http) with context path '' 
15:02:13.451 [main] INFO  com.example.vote.VoteApplication.logStarted(59) - Started VoteApplication in 5.529 seconds (JVM running for 6.571) 
15:02:23.394 [http-nio-8081-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/].log(173) - Initializing Spring DispatcherServlet 'dispatcherServlet' 
15:02:23.395 [http-nio-8081-exec-1] INFO  o.s.web.servlet.DispatcherServlet.initServletBean(524) - Initializing Servlet 'dispatcherServlet' 
15:02:23.410 [http-nio-8081-exec-1] INFO  o.s.web.servlet.DispatcherServlet.initServletBean(546) - Completed initialization in 15 ms 
15:02:40.621 [Thread-15] INFO  o.s.s.c.ThreadPoolTaskExecutor.shutdown(208) - Shutting down ExecutorService 'applicationTaskExecutor' 
15:02:48.690 [main] INFO  o.s.core.KotlinDetector.<clinit>(57) - Kotlin reflection implementation not found at runtime, related features won't be available. 
15:02:49.238 [main] INFO  com.example.vote.VoteApplication.logStarting(50) - Starting VoteApplication on longtao.local with PID 5946 (/Users/yuxun/Desktop/project/java/VoteSystem/target/classes started by yuxun in /Users/yuxun/Desktop/project/java/VoteSystem) 
15:02:49.238 [main] INFO  com.example.vote.VoteApplication.logStartupProfileInfo(650) - The following profiles are active: dev 
15:02:49.373 [background-preinit] WARN  o.s.h.c.j.Jackson2ObjectMapperBuilder.warn(127) - For Jackson Kotlin classes support please add "com.fasterxml.jackson.module:jackson-module-kotlin" to the classpath 
15:02:51.522 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer.initialize(90) - Tomcat initialized with port(s): 8081 (http) 
15:02:51.569 [main] INFO  o.a.catalina.core.StandardService.log(173) - Starting service [Tomcat] 
15:02:51.571 [main] INFO  o.a.catalina.core.StandardEngine.log(173) - Starting Servlet engine: [Apache Tomcat/9.0.21] 
15:02:51.812 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/].log(173) - Initializing Spring embedded WebApplicationContext 
15:02:51.813 [main] INFO  o.s.web.context.ContextLoader.prepareWebApplicationContext(283) - Root WebApplicationContext: initialization completed in 2483 ms 
15:02:52.333 [main] INFO  o.s.s.c.ThreadPoolTaskExecutor.initialize(171) - Initializing ExecutorService 'applicationTaskExecutor' 
15:02:52.717 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer.start(202) - Tomcat started on port(s): 8081 (http) with context path '' 
15:02:52.723 [main] INFO  com.example.vote.VoteApplication.logStarted(59) - Started VoteApplication in 3.961 seconds (JVM running for 4.924) 
15:02:59.230 [Thread-12] INFO  o.s.s.c.ThreadPoolTaskExecutor.shutdown(208) - Shutting down ExecutorService 'applicationTaskExecutor' 
15:03:04.349 [main] INFO  o.s.core.KotlinDetector.<clinit>(57) - Kotlin reflection implementation not found at runtime, related features won't be available. 
